vote,tw_time,twitter_user_id,twitter_user_name,twitter_user_screen_name,twitter_user_followers_count,vote_url,is_quote,twitter_user_prof,main,delta_hours
A,2021-12-29 18:12:42+09:00,995831063392829440,神祖覇天,FERoyThany,827,twitter.com/FERoyThany/status/1476118971724480512,False,SSBU: Byleth/ミラー世界最弱/最近エアライド熱再燃してます/金鹿の学級担任/アイコン→らむだん5cさん(@lambdanN5c)/ヘッダー→おじじさん(@blackpe58852354)/youtubeでスマブラの解説動画投稿や配信してます(リンクは↓),other,0
B,2021-12-29 18:13:25+09:00,400069662,とら(ケンタロスでした),tiger_1211,62,twitter.com/tiger_1211/status/1476119150208892930,False,某氏の動画で紹介されていた構築が公開終了されていても声掛けいただければもっかい公開します 質問箱→https://t.co/rZFtv0O2MF youtube→https://t.co/RSVSGmzosQ,other,0
B,2021-12-29 18:13:38+09:00,1252562177359138817,ペケ,peke_pcg,51,twitter.com/peke_pcg/status/1476119207893159942,False,PTCGO,other,0
A,2021-12-29 18:15:11+09:00,1109679787126087681,G&W|ヨセフ@ゲッチ,andoyosefGW,293,twitter.com/andoyosefGW/status/1476119595505586177,False,"スマブラ垢です
オフラインは本当に当分厳しそう",other,0
B,2021-12-29 18:15:14+09:00,1344964453415043072,にそじそ,Real_Ninjin,250,twitter.com/Real_Ninjin/status/1476119607325130754,False,スマブラ2000　ユナイト1850,other,0
B,2021-12-29 18:16:05+09:00,4647208465,SGR,sgr_vegalta,162,twitter.com/sgr_vegalta/status/1476119821448544262,False,"元法大二劇
社会人

サッカー(だいたいベガルタ)         
                アオアシ  GIANT KILLING 銀魂 コナン 宇宙兄弟 灼熱カバディ

                                   SSBU(リンク・VIPは安定してきた…？ リンク窓所属)",other,0
B,2021-12-29 18:16:16+09:00,707918557649108993,とみい,tomii_ssb,141,twitter.com/tomii_ssb/status/1476119871062945803,True,"ssbu:fox ssb4:fox
光有線オンライン、時々オフ 
気になった人をフォローします。スマ勢は基本的にフォロバします。大会の配信を見るのも好き",other,0
B,2021-12-29 18:17:35+09:00,1298629241081233409,ゆーり,yuri_tendou,126,twitter.com/yuri_tendou/status/1476120199246249985,False,GGST:ラムレザル  プレイ済みゲームなどこちら→https://t.co/mc6hThiUT0 随時更新　格付けチェック敗北,other,0
A,2021-12-29 18:17:43+09:00,1097404206963601408,にんじん,ninjinzss,47,twitter.com/ninjinzss/status/1476120234058985478,False,スマブラsp セフィロス ポケモンgo 歌マクロス,other,0
B,2021-12-29 18:17:55+09:00,1320205635607121921,おい、ジョージ,fururudayo15,933,twitter.com/fururudayo15/status/1476120285829275650,False,ミェン2200 射撃2050 剣術2000 レート1700まで教えてるので詳しく知りたい人はdmください スマメイトのアカウントを下さる方もdmください,other,0
B,2021-12-29 18:18:32+09:00,974229590720708608,RCG｜えりす,SSBU_Elice,560,twitter.com/SSBU_Elice/status/1476120441089826817,False,【SSBU】Roy/Cloud/Greninja 体感ゲッコウガ:4ロイ:3クラウド:2ときどきクロム アニメとゲームとVTuberと音楽(割となんでも)大好きです！あとたまに自分が描いた絵あげます@mirufi_7←お師匠,other,0
B,2021-12-29 18:18:44+09:00,1248938377283436545,敗北者M,miroku_ssb,89,twitter.com/miroku_ssb/status/1476120490142232580,False,格付けを外し続ける三流スマブラー,other,0
B,2021-12-29 18:18:51+09:00,3058977114,ykun🍡🍜,ykun03_ika,109,twitter.com/ykun03_ika/status/1476120518155972609,False,@ykun03 SSBU(リンク)/FF14(Mana)/ウマ娘/Splatoon2(いろいろ),other,0
A,2021-12-29 18:19:21+09:00,4803289543,AO,poppo198000,232,twitter.com/poppo198000/status/1476120643817345025,False,MH/SSBU/Yostar。趣味合いそうならほぼフォロバしま🙌,other,0
B,2021-12-29 18:19:29+09:00,1148456209193660416,カワズ,zs246811,68,twitter.com/zs246811/status/1476120678394855428,False,スマブラSP/2月5日6日になんかやる,other,0
B,2021-12-29 18:19:41+09:00,2309980777,今年も格付けに勝てなかったクソ雑魚スマブラー,hnpnk_S,207,twitter.com/hnpnk_S/status/1476120728781336576,False,ロリコン ネトゲしたりスマホゲーしたりゲームしたり 最近はスマブラをしこたまやっている ピチュー使いだと思われます,other,0
B,2021-12-29 18:19:44+09:00,1445013255500353537,ぎろ,nbaggiro,8,twitter.com/nbaggiro/status/1476120742970675203,False,魔境街道クッパ 全キャラVIP目標 ほぼ観戦勢,other,0
B,2021-12-29 18:19:50+09:00,1590255553,あれっくす,chunchunner,3896,twitter.com/chunchunner/status/1476120767175983104,False,"HS 野球 麻雀 スマブラ
wesg2019 3rd",other,0
B,2021-12-29 18:20:31+09:00,1346699206833053696,白なめこ,white_nameko,0,twitter.com/white_nameko/status/1476120939171815433,False,んふ,other,0
B,2021-12-29 18:20:53+09:00,1244937294420705280,バラド・ヴィ・ナ・しゅんたろ,shuntaro0117,226,twitter.com/shuntaro0117/status/1476121031857545223,False,基本スマブラの限界オタク高校生 無言フォローandフォロバ失礼します リドリーとセフィロスが大好きで使ってます #探偵はもう死んでいる は神作品なので全人類見てちょうだい,other,0
B,2021-12-29 18:21:14+09:00,1077844023946076162,テッカメン,tekkamen_1661,43,twitter.com/tekkamen_1661/status/1476121118125981702,False,スマブラの専用部屋に出没してます。 SSBU(カムイ)/シャドバ(ロイジ),other,0
B,2021-12-29 18:21:21+09:00,326534444,クロスいがらし,CROSS130,2474,twitter.com/CROSS130/status/1476121147171536897,True,スマブラSP：ルカリオ SSBU:Lucario サポート企業：吉祥寺オプテリアグラシアス様（@opteriaglassias）,other,0
B,2021-12-29 18:21:33+09:00,840594080404918277,ハチスカ,hacchi_snoopy,152,twitter.com/hacchi_snoopy/status/1476121199289958403,False,スマブラとDDRとポップンとバスケとスヌーピーとボクタイとぷよぷよとサイゼリヤと卯月コウと白坂小梅と読谷山文乃がすき,other,0
A,2021-12-29 18:21:33+09:00,1246378401713143808,ソデバス,sode_bus_ssbu,138,twitter.com/sode_bus_ssbu/status/1476121198639853569,False,SSBU ルフレ使い りぜあすさんみたいになりたい  #魔女の旅々はいいぞ,other,0
A,2021-12-29 18:22:03+09:00,1034644698629988352,こめにくしお,kns_AliceGirl,244,twitter.com/kns_AliceGirl/status/1476121323433005056,False,身だしなみを整えて、,other,0
B,2021-12-29 18:22:17+09:00,3146639222,てぃが,tigerex19,99,twitter.com/tigerex19/status/1476121385215082497,False,色々とゲームやってます,other,0
B,2021-12-29 18:22:21+09:00,633823777,ユム🌸1/8a!,miki_gosurori,937,twitter.com/miki_gosurori/status/1476121400809521152,False,20↑♂パルテナを使うパルテナレイヤー オンオフどっちもやる者 ため口大歓迎 写真だけ上げる系はインスタ https://t.co/AFzdzNzAyC,other,0
B,2021-12-29 18:22:40+09:00,905804498659983361,ゆいおん,yun_lucina,778,twitter.com/yun_lucina/status/1476121479154905096,False,チーム頑張ってる。/Main: ルキナ/Team:パルテナ・ホムヒカ/神アイコン:@harunn2288/神ヘッダー:@Ruta_tata /スマブラの記事書いてます→https://t.co/7GQTYFoYG4,other,0
B,2021-12-29 18:22:51+09:00,2920768519,フィリアム,Filiam_ssb,148,twitter.com/Filiam_ssb/status/1476121527070642180,False,スマブラSP ゲッコウガ,other,0
A,2021-12-29 18:22:58+09:00,1001462117923307520,nb,nb_ttk,94,twitter.com/nb_ttk/status/1476121553838702592,False,,other,0
A,2021-12-29 18:23:34+09:00,1132453188525674496,ちゃぶりえる,tyaburieru,145,twitter.com/tyaburieru/status/1476121705919971328,False,笛│画像編集🔰│スマブラ（フォックス /ディディー）,other,0
B,2021-12-29 18:24:26+09:00,2888562415,オトメ*ひさぎ,hisagis_clv,577,twitter.com/hisagis_clv/status/1476121926519164933,False,"好きなタイプは「主人公。唯一の身寄りである祖母を亡くして、天涯孤独の身。
行くあてもなく困っていたところに現れた風莉に拾われ、女子校に通うことになる。
男の子だが、女装してスカートを穿くと胸を盛ったりしなくても全く違和感がない。
その美少女っぷりは正体を隠すのには好都合だが、本人的には納得がいかないでいる。」です。",other,0
A,2021-12-29 18:24:46+09:00,3391985834,やから,Yakarashi03,6816,twitter.com/Yakarashi03/status/1476122009805651970,False,"SSBB:Falco  SSB4:Fox  SSBU:Falco,Fox,Wolf",other,0
B,2021-12-29 18:25:02+09:00,1435092848936775687,はじめ,0704_hajime,21,twitter.com/0704_hajime/status/1476122074230177794,False,大学4年生(22歳)。🎵セカオワ(MAGICとtearsが特に好き)。🎮スマブラ(ゲッコウガ単)とかポケモン(剣盾、ダイパリメイク、ユナイトなど)とか色々。無言フォロー失礼します🙇‍♂️,other,0
B,2021-12-29 18:25:56+09:00,1344454867377524736,シルEtto 😈　🍃,Etto98828972,86,twitter.com/Etto98828972/status/1476122303809593348,False,ホロライブ好き。特に百鬼あやめ😈推し 風真いろは🍃も新たに推していきたい。 スマブラ リュカ フォックス使ってます。いろんな人とスマブラしたい。オセロニアもやってます。無言フォロー失礼します。フォロバはだいたいします。,other,0
B,2021-12-29 18:26:09+09:00,1347971209485459456,おすけ,I1rFTMRDnKujIfo,5,twitter.com/I1rFTMRDnKujIfo/status/1476122356066418688,False,"SSBU_Fox_Falco_DD
フォロー返さなくて大丈夫です。",other,0
A,2021-12-29 18:26:25+09:00,1330208899778088964,Noon,NoonHobby,23,twitter.com/NoonHobby/status/1476122422630043655,False,趣味アカ(主にゲーム) スマブラ(ゲッコウガ)/スプラ(X/S+/S+/S)/ポケモン(ダブルメイン)/ハースストーン/シャドバ,other,0
